,revenue_category,year,power_code_code,value,mean_value
831,5113 Other (than value added and sales tax),2007,600000,0.04333717207165356,0.04333717207165356
832,5113 Other (than value added and sales tax),2008,600000,0.04333717207165356,0.04333717207165356
833,5113 Other (than value added and sales tax),2009,600000,0.04333717207165356,0.04333717207165356
834,5113 Other (than value added and sales tax),2010,600000,0.04333717207165356,0.04333717207165356
835,5113 Other (than value added and sales tax),2011,600000,0.04333717207165356,0.04333717207165356
836,5113 Other (than value added and sales tax),2012,600000,0.04333717207165356,0.04333717207165356
837,5113 Other (than value added and sales tax),2013,600000,0.04333717207165356,0.04333717207165356
838,5113 Other (than value added and sales tax),2014,600000,0.04333717207165356,0.04333717207165356
839,5113 Other (than value added and sales tax),2015,600000,0.04333717207165356,0.04333717207165356
840,5113 Other (than value added and sales tax),2016,600000,0.04333717207165356,0.04333717207165356
841,5113 Other (than value added and sales tax),2017,600000,0.04333717207165356,0.04333717207165356
842,5113 Other (than value added and sales tax),2018,600000,0.04333717207165356,0.04333717207165356
843,5113 Other (than value added and sales tax),2019,600000,0.04333717207165356,0.04333717207165356
844,5113 Other (than value added and sales tax),2020,600000,0.04333717207165356,0.04333717207165356
845,5113 Other (than value added and sales tax),2021,600000,0.04333717207165356,0.04333717207165356
846,5113 Other (than value added and sales tax),2004,600000,0.04333717207165356,0.04333717207165356
847,5113 Other (than value added and sales tax),2005,600000,0.04333717207165356,0.04333717207165356
848,5113 Other (than value added and sales tax),2006,600000,0.04333717207165356,0.04333717207165356
849,5113 Other (than value added and sales tax),2007,600000,0.04333717207165356,0.04333717207165356
850,5113 Other (than value added and sales tax),2008,600000,0.04333717207165356,0.04333717207165356
851,5113 Other (than value added and sales tax),2009,600000,0.04333717207165356,0.04333717207165356
852,5113 Other (than value added and sales tax),2010,600000,0.04333717207165356,0.04333717207165356
853,5113 Other (than value added and sales tax),2011,600000,0.04333717207165356,0.04333717207165356
854,5113 Other (than value added and sales tax),2012,600000,0.04333717207165356,0.04333717207165356
